china,korea
毫无,[동사]조금도[전혀]…이없다.
寒暄,[동사](상투적인)인사말을나누다.
捍卫,[동사]지키다.수호하다.
含糊,[형용사](태도나말따위가)모호하다.애매하다.소홀하다.경솔하다.[동사]두려워하다.무서워하다.
航行,[동사]항행하다.항해하다.운항하다.항행하다.
航天,[형용사]우주비행과관련있는.우주비행의.[동사]우주비행하다.
航空,[형용사]항공과관련있는.항공의.[동사](하늘을)비행하다.
固执,[형용사]완고하다.고집스럽다.[동사]고집하다.
过问,[동사]참견하다.따져묻다.관심을가지다.신경을쓰다.간섭하다.
过滤,[동사]거르다.여과하다.
过奖,[동사]지나치게칭찬하십니다.과찬이십니다.
过渡,[동사](사물이)한단계에서점점발전하여다음단계로바뀌어가다.과도하다.(배를타고강을)건너다.넘다.
孤立,[동사]고립하다.고립시키다.[형용사]고립되어있다.따로떨어지다.고립적이다.
归还,[동사]돌려주다.반환하다.
跪,[동사]무릎을꿇다.꿇어앉다.
辜负,[동사]헛되게하다.저버리다.
鼓动,[동사]선동하다.부추기다.부치다.흔들다.
关照,[동사]돌보다.보살피다.협력하다.호응하다.통지[통보]하다.알리다.
管辖,[동사]관할하다.
观光,[동사]관광하다.참관하다.
灌溉,[동사]논밭에물을대다.관개하다.
贯彻,[동사]관철시키다.철저하게실현하다.
勾结,[동사]결탁하다.내통하다.
公证,[동사]공증하다.
公认,[동사]공인하다.모두가인정하다.
攻克,[동사](적의거점등을)점령하다.함락시키다.(난제나난관등을)극복하다.뛰어넘다.
共计,[동사]합계하다.합하여계산하다.함께계획하다.
攻击,[동사]공격하다.진공하다.악의적으로비난하다.공격하다.
供给,[동사]공급하다.대다.
巩固,[형용사]견고하다.공고하다.[동사]견고하게[공고히]하다.튼튼히다지다.
歌颂,[동사](시로)찬양하다.찬미하다.(글로)찬양하다.찬미하다.
跟踪,[동사]바짝뒤를따르다.미행하다.
更正,[동사]정정하다.잘못을고치다.
更新,[동사]경신[갱신]하다.새롭게바뀌다.다시우거지다.
隔离,[동사]분리시키다.떼어놓다.격리시키다.
割,[동사](칼로)절단하다.자르다.분할하다.갈라놓다.포기하다.내버리다.
搁[擱],[동사]놓다.두다.방치하다.내버려두다.넣다.첨가하다.
高涨,[동사](정서·물가등이)급증하다.급상승하다.
告诫,[동사]훈계하다.타이르다.[주로상급자[연장자]가하급자[연하자]에게사용함]
告辞,[동사]이별을고하다.하직하다.
干预,[동사]관여[간여]하다.간섭하다.
干扰,[동사](남의일을)방해하다.(남의일에)지장을주다.(전파·신호를)방해하다.
感染,[동사]감염되다.전염되다.영향을끼치다.감화시키다.
感慨,[동사]감격하다.감개무량하다.
盖章,[동사]도장[직인]을찍다.날인하다.
辅助,[동사]거들어주다.돕다.[형용사]보조적인.부차적인.
富裕,[형용사]부유하다.[동사]부유하게하다.
赋予,[동사]부여하다.주다.
抚养,[동사](아이를)무양(撫養)하다.부양하다.
敷衍,[동사]자세히서술하다.부연설명하다.
腐朽,[동사]썩다.부패하다.(사상이)진부하다.케케묵다.
复兴,[동사]부흥하다.부흥시키다.
附属,[동사]부속되다.귀속되다.[형용사](어떤기관의)부속의.부설의.
腐蚀,[동사]부식하다.썩어문드러지다.타락시키다.부패시키다.
服气,[동사]진심으로탄복[신복·복종]하다.
腐烂,[동사](물질이)부패하다.부식(腐蝕)하다.[형용사](사상·행동이)진부하다.타락하다.문란하다.부패하다.
复活,[동사]부활하다.죽었다다시살아나다.부활하였다.다시흥기하다.부활시키다.
附和,[동사]남의언행을따르다.부화하다.
腐败,[동사](물질이)썩다.부패하다.[형용사](사상·행동등이)진부하다.타락하다.문란하다.부패하다.
否决,[동사](안건·의견등을)부결하다.거부하다.
粉碎,[형용사]산산조각나다.박살나다.[동사]분쇄하다.가루로만들다.분쇄하다.섬멸하다.
分散,[형용사]분산하다.흩어지다.[동사]분산시키다.배포하다.나누어주다.
分裂,[동사]분열하다.결별하다.분열시키다.
分解,[동사]분해하다.분열[와해]되다.(분쟁을)해결하다.화해시키다.해설하다.설명하다.
分红,[동사](기업등에서)이익을분배하다.순이익을배당하다.
封锁,[동사](강제적수단으로)폐쇄하다.봉쇄하다.(군사등의조치로)봉쇄하다.
封闭,[동사]봉하다.밀봉하다.조사한후봉인하다.
吩咐,[동사]분부하다.명령하다.
飞翔,[동사]하늘을빙빙돌며날다.비상하다.
沸腾,[동사]비등하다.들끓다.물끓듯떠들썩하다.(감정이)고취되다.끓어오르다.
废除,[동사]취소하다.폐지하다.
诽谤,[동사]비방하다.중상모략하다.
发育,[동사]발육하다.자라다.
发扬,[동사]선양하여발전시키다.드높이다.(충분히)발휘하다.
发炎,[동사]염증이생기다.염증을일으키다.
发行,[동사]발행하다.발매하다.
发誓,[동사]맹세하다.
发射,[동사]쏘다.발사하다.
繁殖,[동사]번식하다.증가하다.
反问,[동사]반문하다.반어로묻다.
反射,[동사]반사하다.반사작용을하다.
贩卖,[동사](사들여)판매하다.잘못되고황당한말을퍼트리다.
泛滥,[동사](물이)범람하다.(못된것이)범람하다.
反抗,[동사]반항하다.저항하다.
纺织,[동사]방직하다.
防治,[동사]예방치료[퇴치]하다.
防止,[동사]방지하다.
防御,[동사]방어하다.
防守,[동사]수비하다.방어하다.(시합에서)수비하다.
放射,[동사]방사하다.방출하다.발사하다.
放大,[동사]확대하다.크게하다.
反驳,[동사]반박하다.
发觉,[동사]발견하다.알아차리다.
发动,[동사]시동[발동]을걸다.기기를돌리다[운전시키다].개시하(게하)다.일으키다.행동하게하다.발동시키다.
发呆,[동사]멍하다.멍해지다.
发财,[동사]큰돈을벌다.부자가되다.근무하다.돈을벌다.
发布,[동사]선포하다.발포하다.
遏制,[동사]저지하다.억제하다.
恶化,[동사]악화되다.악화시키다.
堵塞,[동사]막히다.가로막다.
多元化,[동사]다원화하다.
哆嗦,[동사]떨다.
堕落,[동사](사상·행동이)타락하다.부패하다.영락하다.떠돌다.
杜绝,[동사]제지하다.철저히막다.되물리지않는조건으로팔다.
对照,[동사]대조하다.(사람·사물을)대비하다.비교하다.
对应,[동사]대응하다.[형용사](어떤상황에)대응하는.(어떤상황과)상응하는.
兑现,[동사](수표·어음등을)현금으로바꾸다.결산때현금을지급하다.약속을실행하다[이행하다].
对立,[동사]대립하다.대립되다.대립하다.
对抗,[동사]대항하다.저항하다.적대시하다.대치하다.
堆积,[동사](사물이)쌓여있다.쌓이다.
对付,[동사]대처하다.다루다.그런대로하다.아쉬운대로하다.[형용사](마음이)맞다.
督促,[동사]감독·재촉하다.독촉하다.
独裁,[동사]독재하다.독자적으로판단하다.
赌博,[동사]노름하다.도박하다.위험한일에종사하다[손을대다].
端正,[형용사]단정하다.똑바르다.바르다.단정하다.[동사]바로잡다.바르게하다.
断绝,[동사]단절하다.끊다.
断定,[동사]단정하다.결론을내리다.
斗争,[동사]투쟁하다.싸우다.분투·노력하다.투쟁하다.
动员,[동사](군사및경제를)전시체제화하다.전시동원상태에들어가다.동원하다.설득하다.
动手,[동사]하다.시작하다.때리다.손찌검하다.손을대다.만지다.
动身,[동사]출발하다.떠나다.
冻结,[동사]얼다.얼리다.(자금·인원등을)동결하다.당분간중지하다[멈추다].
动荡,[동사](정세·상황등이)불안하다.동요하다.동요하다.일렁[출렁]이다[거리다].
抵制,[동사]보이콧(boycott)하다.배척하다.
递增,[동사]점점늘다.점차증가하다.
丢人,[동사]체면을잃다[구기다·깎이다].창피를[망신을]당하다.
敌视,[동사]적대시하다.적대하다.
叮嘱,[동사]신신당부하다.거듭[재삼]부탁하다.
定期,[동사]날짜를[기일을·기한을]정하다[맞추다·잡다].[형용사]정기의.정기적인.
盯,[동사]주시하다.응시하다.
抵抗,[동사]저항하다.대항하다.
跌,[동사](몸이균형을잃고)쓰러지다.넘어지다.(물가가)내리다.떨어지다.(물체가)떨어지다.낙하하다.
抵达,[동사]도착[도달]하다.
调动,[동사](인원·일등을)교환하다.(맞)바꾸다.동원하다.자극하다.
吊,[동사]걸다.매달다.(끈따위로매서)내려놓다[들어올리다].회수하다.철회하다.제사하다.조문(弔文)하다.
叼,[동사](물체의일부분을)입에물다.
点缀,[동사]단장하다.꾸미다.숫자[머릿수]를채우다.구색을맞추다.
惦记,[동사]늘생각하다.항상마음에두다.
奠定,[동사]다지다.닦다.
颠倒,[동사]뒤바뀌다.전도되다.착란하다.뒤섞여어수선하다.
颠簸,[동사](위아래로)(뒤)흔들리다.요동하다.
得罪,[동사]미움을사다.노여움을사다.
登录,[동사]등록하다.등재하다.로그인하다.
登陆,[동사]상륙하다.육지에오르다.적지에상륙하다.상품등이시장에진출하다.
瞪,[동사](눈을)크게[휘둥그렇게]뜨다.부라리다.눈을부릅뜨고노려보다.
蹬,[동사](발에힘을주어)밟다.뻗다.딛다.디디다.(신발·바지등을)신다.입다.방치하다.던져버리다.
得力,[동사]도움을받다.힘을얻다.이익을얻다.효과가[효험이]있다.[형용사]유능하다.다부지다.야무지다.
打仗,[동사]전쟁하다.전투하다.
搭配,[동사]배합하다.조합하다.결합하다.짜다.[형용사]잘어울리다.걸맞다.
盗窃,[동사]도둑질하다.절도하다.
捣乱,[동사]교란하다.소란을피우다.귀찮게굴다.성가시게하다.
导航,[동사]항해나항공을유도하다.인도하다.
倒闭,[동사]도산하다.
诞生,[동사]탄생하다.태어나다.생기다.나오다.
当选,[동사]당선되다.
担保,[동사]보증하다.담보하다.담보하다.보증하다.
打猎,[동사]사냥하다.수렵하다.
打量,[동사]살펴보다.훑어보다.짐작하다.예측하다.
打架,[동사](때리며)싸우다.다투다.
打击,[동사]타격을주다.공격하다.치다.두들기다.
怠慢,[동사]냉대하다.푸대접하다.대접이소홀했습니다.
带领,[동사]인솔하다.이끌다.데리다.안내하다.
代理,[동사]대리하다.대신하다.
逮捕,[동사]체포하다.잡다.
达成,[동사]달성하다.도달하다.
答辩,[동사]답변하다.
打包,[동사]포장을풀다.(종이·천등으로)포장하다.싸다.(～儿)합치다.도매하다.(음식점에서)먹고남은음식을싸(가)다.
搭,[동사]널다.걸치다.받치다.괴다.잇다.연결되다.타다.
磋商,[동사]반복하여협의하다.상세하게논의하다.
搓,[동사]비비다.비벼꼬다.
摧残,[동사]심한손상[손실]을주다.학대하다.
窜[竄],[동사]마구뛰어다니다.달아나다.(글자를)고치다.수정하다.쫓아내다.축출하다.
凑合,[형용사]그런대로…할만하다.아쉬운대로…할만하다.[동사]한데모으다.함께모이다.끼워맞추다.
伺候,[동사]시중들다.모시다.
处置,[동사]처치하다.징벌하다.처리하다.
出神,[동사]넋을잃다.넋이나가다.
纯洁,[형용사]순결하다.순수하고맑다.[동사]순수하고맑게하다.순결하게하다.
出卖,[동사]배반하다.팔아먹다.팔다.판매하다.
吹捧,[동사](지나치게)치켜세우다.
吹牛,[동사]허풍을떨다.큰소리치다.
触犯,[동사]저촉되다.범하다.
穿越,[동사](산·들등을)넘다.통과하다.
传授,[동사]전수하다.가르치다.
喘气,[동사]호흡하다.헐떡거리다.숨을돌리다.
创业,[동사]창업하다.
创立,[동사]창립하다.창설하다.
筹备,[동사]기획하고준비하다.
充实,[형용사]충분하다.풍부하다.[동사]충족시키다.강화하다.
崇敬,[동사]숭경하다.존경하고사모하다.
冲击,[동사]충격.적진으로돌격하다.충봉(衝鋒)하다.(흐르는물등이)세차게부딪치다.
重叠,[동사]중첩되다.중복되다.
充当,[동사](어떤직무·역할을)맡다.담당하다.
崇拜,[동사]숭배하다.
吃力,[형용사]힘들다.고달프다.피곤하다.[동사]힘을감당하다[견디다].
吃苦,[동사]고생하다.고통을맛보다[당하다].
撤销,[동사]없애다.취소하다.
撤退,[동사](군대가)철수하다.퇴각하다.(어떤곳에서)떠나다.물러가다.
沉着,[형용사]침착하다.[동사]비세포성물질이유기체의조직속에가라앉다.
沉思,[동사]깊이생각하다.심사숙고하다.
陈述,[동사]진술하다.
陈列,[동사]진열하다.
呈现,[동사]나타나다.드러나다.
澄清,[동사](인식·문제등을)분명히하다.분명하게밝히다.(혼란한국면을)일소(一掃)하다.평정하다.[형용사]맑고깨끗하다.
成交,[동사]거래가성립하다.매매가성립되다.
承包,[동사]청부맡다.하청을받다.
承办,[동사]맡아처리[취급]하다.
诧异,[동사]의아해하다.이상해하다.
超越,[동사]넘다.넘어서다.
嘲笑,[동사]비웃다.놀리다.
阐述,[동사]상세히논술하다.명백하게논술하다.
缠绕,[동사]둘둘감다.얽히다.얽매다.방해하다.
尝试,[동사]시도해보다.테스트해보다.
敞开,[동사]활짝열다.[부사]한껏.마음대로.[동사]풀다.제한하지않다.[부사]무제한으로.
偿还,[동사](진빚을)상환하다.갚다.
倡导,[동사]앞장서서제창하다.창도하다.
馋[饞],[동사]게걸스럽다.식탐하다.몹시부러워하다.탐내다.
搀[攙],[동사]부축하다.돕다.섞다.타다.
查获,[동사]수사하여체포하다.수색하여장물·반입금지물품등을압수하다.
操作,[동사]조작하다.다루다.일하다.노동하다.
操纵,[동사](기계·기기등을)제어하다.다루다.(부당한방법으로)조종하다.조작하다.
操练,[동사]훈련하다.조련(調練)하다.갈고닦다.연마하다.
操劳,[동사]애써일하다.수고하다.
参照,[동사](방법·경험등을)참조하다.참고하다.
残留,[동사](부분적으로)남아있다.
裁员,[동사](기관·기업등에서)감원하다.인원을축소하다.
采纳,[동사]받아들이다.수락하다.
采集,[동사]채집하다.수집하다.
捕捉,[동사]잡다.붙잡다.잡다.포착하다.
布置,[동사]안배하다.진열하다.(어떤활동에대해)계획하다.할당하다.
不止,[동사]멈추지않다.그치지않다.…에그치지않다.
不由得,[부사]저절로.자연히.[동사]허용하지않다.…하지않을수없다.
不惜,[동사]아끼지않다.
哺乳,[동사]젖을먹이다.
不愧,[동사]…에부끄럽지않다.…라고할만하다.
不堪,[동사]감당할수없다.…할수없다.[형용사](부정적인의미로)몹시심하다.엉망이다.형편없다.
补救,[동사](조치를취하여)교정하다.보완하다.만회하다.
不顾,[동사]고려하지않다.꺼리지않다.
补偿,"[동사](손실,손해를)보충하다.(차액,결손을)보상하다."
剥削,[동사]착취하다.
搏斗,[동사]격렬하게싸우다.격투하다.갈기다.후려치다.
闭塞,[형용사]소식에어둡다.아는것이적다.외지다.(교통이)불편하다.[동사]막히다.봉쇄되다.
逼迫,[동사]핍박하다.옥죄어재촉하다.
濒临,[동사]인접하다.가까이가다.
并列,[동사]병렬하다.
并非,[동사]결코…하지않다.결코…이아니다.
憋,[동사]답답하게하다.숨막히게하다.참다.억제하다.
表彰,[동사]표창하다.
表决,[동사]표결하다.
变质,[동사](주로나쁜쪽으로)변질되다.
编织,[동사]엮다.짜다.
辩证,[동사]변증하다.논증하다.[형용사]변증법적이다.
便于,[동사](…하기에)쉽다.…에편하다.
辨认,[동사]식별해내다.
变迁,[동사]변천하다.
便利,[형용사]편리하다.[동사]편리하게하다.
辩解,[동사]해명하다.변명하다.
辩护,[동사]변호하다.변론하다.
贬低,[동사](고의로)가치를깎아내리다.얕잡아보다.
鞭策,[동사]독려하고재촉하다.채찍질하다.(말을)채찍질하다.
遍布,[동사]널리퍼지다.널리분포하다.
崩溃,[동사]붕괴[붕궤]하다.무너지다.
迸发,[동사]솟아나다.(밖으로)내뿜다.
蹦,[동사]뛰어오르다.껑충뛰다.(지면에서)튀어오르다.
奔波,[동사]분주히뛰어다니다.분주하다.
背诵,[동사](시문·글등을)외우다.암송하다.
背叛,[동사]배반하다.배신하다.
保重,[동사]건강에주의[유의]하다.몸조심하다.[주로남에게건강에주의하기를바란다는말로쓰임]
爆炸,[동사](큰소리를내며)폭발하다.작렬하다.(수나양이)폭증하다.격증하다.
保养,[동사]수리하다.정비하다.보양하다.양생하다.
报销,[동사](사용경비를)청구하다.결산하다.상부에보고하고폐기물을처분하다.폐기신고하다.(사람이나사물을)제거하다.없애버리다.
保卫,[동사]보위하다.
保守,[형용사]보수적이다.[동사]고수하다.지키다.[형용사]절제된.여지[여유]를둔.
保密,[동사]비밀을지키다.기밀로하다.
暴露,[동사]폭로하다.드러내다.
曝光,[동사](사진에서)노출하다.폭로되다.노출되다.
爆发,[동사]화산이폭발하다.(감정등이)폭발하다.돌발하다.갑자기터져나오다.
报答,[동사](실제행동으로)보답하다.감사를표하다.
报仇,[동사]복수하다.보복하다.
包庇,[동사]비호하다.감싸주다.
扮演,[동사]…역을맡아하다.출연하다.
伴随,[동사]따라가다.함께가다.
绑架,[동사]납치하다.인질로잡다.
颁发,[동사]수여하다.(정책·명령따위를)하달하다.내리다.
颁布,[동사]공포하다.반포하다.
巴结,[동사](권력에)아첨하다.아부하다.
拜托,[동사](삼가)부탁드립니다.부탁드리다.
摆脱,[동사]벗어나다.빠져나오다.
拜年,[동사]세배하다.새해인사를드리다.
败坏,[동사](명예·풍속등을)손상시키다.망치다.[형용사]부패하다.타락하다.
拜访,[동사]삼가방문하다.예방하다.
掰,[동사](손으로물건을)쪼개다.떼어내다.(남의단점을)거론하다.들추어내다.절교하다.관계가끝이나다.
把关,[동사]관문을지키다.책임을지다.조치를취하여어떤사물을엄격한기준에부합하도록하다.
巴不得,[동사]간절히원하다.갈망하다.
扒,[동사]긁어내다.파내다.뜯어내다.헐다.(옷·껍질따위를)벗기다.홀랑벗어버리다.헤치다.밀어젖히다.
熬,[동사](양식등을)오래끓이다.푹삶다.(통증·생활고등을)참다.인내하다.졸이다.달이다.
安置,[동사]적절한위치[장소·일자리]를찾아주다.제자리에놓다.
按摩,[동사]안마하다.마사지하다.
爱戴,[동사]우러러섬기다.추대하다.
挨,[동사]…을받다.…을당하다.어렵게살아가다.지체하다.꾸물거리다.
审美,"[동사]아름다움을감상[감별]하고평가하다.[명사,형용사]심미(적)."
推理,"[명사,동사]추리(하다).추론(하다)."
示范,"[명사,동사]시범(하다).모범(을보이다)."
生存,"[명사,동사]생존(하다)"
歧视,"[명사,동사]경시(하다).차별대우(하다)."
惩罚,"[명사,동사]징벌(하다)."
罢工,"[명사,동사]동맹파업(하다).스트라이크(strike)(하다)."
哇,[의성어·의태어]왝왝.앙앙.[조사]‘啊(ā)’가‘u·ao·ou’로끝나는앞음절의영향을받아발음이변하면서다르게쓴것.
哄,[의성어·의태어]와.왁자지껄.[동사]왁자지껄하다.떠들썩거리다.
哼,[동사]신음하다.끙끙거리다.콧노래부르다.흥얼거리다.[의성어·의태어]힝.흥.[콧속에서나오는소리]
呵,[동사]입김을불다.(큰소리로)꾸짖다.질책하다.[의성어·의태어]하하.허허.[웃음소리][감탄사]‘嗬(hē)’과같음.
嗨,[감탄사](남을부르거나주의를환기시킴을나타내어)어!어이!자!이봐![‘咳(hāi)’와같음][의성어·의태어]가사중에의미없이쓰이는글자.
座右铭,[명사]좌우명.
作风,[명사]기풍.태도.(예술가의)풍격(風格).격조.
尊严,[형용사]존귀하고장엄하다.존엄하다.[명사]존엄(성).
嘴唇,[명사]입술.
祖父,[명사]조부.할아버지.
钻石,[명사]금강석.다이아몬드.석(石).쫜스.다이아몬드.
阻碍,[동사](진행하지못하도록)가로막다.[명사]장애물.
走廊,[명사]복도.회랑.회랑지대.
宗旨,[명사]종지.주지(主旨).
棕色,[명사]갈색.다갈색.
踪迹,[명사]종적.행적.
纵横,[명사]종횡.가로세로.합종연횡.[형용사]가로세로가뒤얽히는모양.자유자재하다.자유분방하다.
总和,[명사]총계.총수.
滋味,[명사]좋은맛.향미.맛.속마음.기분.
姿态,[명사]자태.모습.태도.기개.도량.
资产,[명사]재산.산업.자산.자산.
资本,[명사]자본.자금.밑천.
著作,[동사]저작하다.[명사]저서.저작.
住宅,[명사]주택.
助手,[명사]조수.
注释,[동사]주해하다.주석하다.[명사]주석.주해.
主权,[명사]주권.
准则,[명사]준칙.규범.
助理,[동사]보조하다.보좌하다.[명사]보좌인.보좌관.
主管,[동사]주관하다.주무하다.[명사]주관자.팀장.
主导,[형용사]주도의.[명사]주도.
专题,[명사]전제.특정한제목.
专利,[명사]특허.특허권.
传记,[명사]전기.
壮观,[명사]장관.[형용사]경관이훌륭하고장대하다.장관이다.
装备,[명사]장비.[동사](무기나기계를)탑재하다.장착하다.
专长,[명사]특기.특수기능.
株,[명사]그루터기.포기.그루.[양사]그루.
周折,[명사]곡절.
昼夜,[명사]낮과밤.
皱纹,[명사]주름(살).
周期,[명사]주기.주기.주기.
周年,[명사]주년.
周边,[명사]주변.주위.
州,[명사]주.자치주.
粥,[명사]죽.
舟,[명사]배.
种族,[명사]종족.인종.
种子,[명사]종자.열매.어떤방면에특별한인물.씨앗.시드(seed).
中央,[명사]중앙.정부[정치조직]의최고기관.
重心,[명사]중심.무게중심.무게중심.(일의)중점.핵심.
终身,[명사]일생.평생.(여자의)혼인대사.
肿瘤,[명사]종양.
中立,[동사]중립하다.중립을[중도를]지키다.[명사]중립.중도.
终点,[명사]종착점.종점.결승점.골인점.
支柱,[명사]지주.받침대.지주.기둥.
职务,[명사]직무.
职位,[명사]직위.
指望,[동사]기대하다.바라다.[명사](～儿)기대.가망(성).
指示,[동사]가리키다.지시하다.명령을내리다.[명사](구두상·서면상의)지시.명령.
志气,[명사]패기.기개.
智能,[명사]지능.[형용사]지능이있는.지능을갖춘.
职能,[명사]직능.직책과기능.
指南针,[명사]지남침.나침반.지침.
殖民地,[명사]식민지.
支流,[명사]지류.비본질적인것.부차적인것.
指令,[동사]지시하다.명령하다.[명사]지령.상급기관의명령[지시].명령.
智力,[명사]지력.지능.
知觉,[명사]지각.감각.지각.
指甲,[명사]손[발]톱.
制服,[명사]제복.[동사]제압하다.굴복시키다.
脂肪,[명사]지방.
支出,[동사]지출하다.[명사]지출.
指标,[명사]지표.수치.목표.
治安,[명사]치안.
枝,[명사](～儿)가지.[양사]송이.[명사]‘支(자루)’와같음.
珍珠,[명사]진주.
真相,[명사]진상.실상.
侦探,[동사]정탐하다.[명사]탐정.밀정.
阵容,[명사]진용.진용.라인업.
症状,[명사]증상.증후.
正月,[명사]정월.
争议,[동사]쟁의하다.논의하다.[명사]이견.다른의견.
正义,[명사]정의.[형용사]정의로운.[동사]정의하다.
证书,[명사]증서.증명서.
政权,[명사]정권.행정기관.
正气,[명사]공명정대한태도.바른기풍.정기.지극히크고바르고공명한천지의원기(元氣).정기.생명의원기(元氣).
正负,[명사]플러스마이너스.양전자와음전자.
争端,[명사]쟁단.분쟁의실마리.
阵地,[명사]진지.일선.
遮挡,[동사]막다.차단하다.[명사]차단물.은폐물.
折,[동사]꺾다.끊다.요절하다.어려서죽다.좌절하다.굽히다.손해보다.손실을입다.
沼泽,[명사]소택.소택지.
战役,[명사]전역.
展望,[동사]먼곳을보다.멀리바라보다.전망하다.앞을내다보다.[명사]전망.비전.
战术,[명사]전술.전술.[형용사]전술의.전술적인.
战略,[명사]전략.전략.[형용사]전략적인.
帐篷,[명사]장막.천막.
章程,[명사]장정.규정.당헌.
障碍,[명사]장애물.방해물.[동사]방해하다.막다.
战斗,[명사]전투.전투.투쟁.[동사]전투하다.교전하다.전투하다.
摘要,[명사]적요.개요.[동사]적요하다.요점만따서적다.
债券,[명사]채권.채권.
扎,[동사](뾰족한물건으로)찌르다.파고들다.뛰어들다.[명사]자르(jar).(아가리가넓은)병.[동사]주둔하다.
渣,[명사]찌꺼기.침전물.부스러기.찌꺼기.
贼[賊],[명사]도둑.도적.적.반역자.[동사](몸을)해치다.상하게하다.[형용사]사악하다.나쁘다.
遭遇,[동사]조우하다.만나다.[명사]처지.경우.
造型,[명사](만들어낸물체의)이미지.형상.[동사]조형하다.형상화하다.주형(鑄型)[거푸집]을만들다.
杂技,[명사]잡기.곡예.
灾难,[명사]재난.재해.
宰,[동사]주관하다.주재(主宰)하다.(가축·가금등을)도살하다.죽이다.바가지씌우다.폭리를취하다.[명사]옛날관직이름.
预兆,[동사]조짐을[징조를·전조를]보이다.[명사]전조.조짐.
预言,[동사]예언하다.[명사]예언.
寓言,[명사]우언.우화(寓話).
欲望,[명사]욕망.
预算,[동사]예산하다.[명사]예산.
羽绒服,[명사]다운재킷.오리[거위]털재킷.
渔民,[명사]어민.
舆论,[명사]여론.
预料,[동사]예상하다.예측하다.[명사]예상.예측.
乐谱,[명사]악보.
元宵节,[명사]원소절.정월대보름.
原先,[명사]종전.이전.
冤枉,[형용사]억울하다.대우가불공평하다.[동사]억울한누명을씌우다.[명사]누명.[형용사]불필요하다.헛되다.
元首,[명사]군주.임금.국가원수.
源泉,[명사]원천.사물발생의본원[근원·근본].원천.
园林,[명사]원림.정원.
原理,[명사]원리.
原告,[명사]원고.
愈,[동사](병이)낫다.뛰어넘다.추월하다.[부사]…하면…할수록…하다.[명사](Yù)성(姓).
油漆,[명사]페인트.도료.[동사](페인트등을)칠하다.
油腻,[형용사]기름지다.기름기가많다.[명사]기름진식품.기름(때).
用户,[명사]사용자.가입자.
意志,[명사]의지.의기.
一向,[부사]줄곧.내내.[명사]최근.근래.[부사]그동안.
意向,[명사]의향.의도.
以往,[명사]종전.이전.
依托,[동사]의지하다.기대다.(어떤명의를)빌다.빌리다.[명사]의지할곳[사람].바탕.
意图,[명사]의도.기도.
意识,[명사]의식.의식.의식.[동사]느끼다.깨닫다.
仪式,[명사]의식.
衣裳,[명사]의상.의복.
仪器,[명사]측정[계측]기.[과학기술분야에서실험·검측·제도·계량등에쓰이는각종정밀기구혹은장치]
音响,[명사]음향.음향기기.
隐私,[명사]사적인비밀.개인의사생활[사적인일].
饮食,[동사]음식을먹고마시다.[명사]음식.
引擎,[명사]엔진(engine).내연기관.증기기관.
阴谋,[명사]음모.[동사]음모하다.음모를꾸미다.
隐患,[명사]잠복해있는병[화(禍)·위험].겉에드러나지않은폐해[재난·재앙].
迎面,[명사]맞은편.정면.[동사]얼굴을향하다.정면을향하다.
盈利,[명사]이윤.이익.[동사]이윤을얻다.이익을보다.
婴儿,[명사]영아.젖먹이.
应酬,[동사]응대하다.접대하다.[명사]연회.파티.
一流,[형용사]같은부류의.한부류의.[명사]일류.
意料,[명사]예상.예측.[동사]예상하다.예측하다.
毅力,[명사]굳센의지.완강한의지.
依靠,[동사]의존하다.의지하다.[명사]지지자.후원자.
依据,[동사]의거하다.근거하다.[명사]근거.
疑惑,[동사]의심하다.의심을품다.[명사]의혹.의심.
一度,[부사]한때.한동안.[명사]한번.한차례.
遗产,[명사]유산.유산.
亦,[부사]…도역시.또.[명사](Yì)성(姓).
翼,[명사]날개.깃.날개.익.익.측.익.
野心,[명사]야심.
压岁钱,[명사]세뱃돈.
谣言,[명사]유언비어.풍설.
要素,[명사]요소.
要点,[명사]요점.요부(要部).거점.근거지.
演绎,[동사]벌여놓다.전개하다.명료하게하다.밝히다.[명사]연역(법).
岩石,[명사]암석.바위.
眼神,[명사]눈의표정.눈매.(～儿)시력.
眼色,[명사]윙크.눈짓.눈치.
言论,[명사]언론.의견.
掩护,[동사]몰래보호하다.엄호하다.[명사]엄폐물.엄폐방법.
沿海,[명사]연해.바닷가근처지방.
眼光,[명사]시선.눈길.선견지명.통찰력.관점.견해.
氧气,[명사]산소.
样品,[명사]샘플.견본(품).
亚军,[명사](운동경기에서의)제2위.준우승(자).
须知,[명사]주의사항.숙지사항.[동사]반드시알아야한다.
序言,[명사]서문.서언.
虚荣,[명사]허영.헛된영화.
需求,[명사]수요.필요.
熏陶,[동사]훈도하다.훈도를받다.[명사]영향.훈도.
血压,[명사]혈압.
学位,[명사]학위.
学说,[명사]학설.
选手,[명사]선수.
悬念,[명사]서스펜스(suspense).[동사]걱정하다.근심하다.
旋律,[명사]선율.멜로디.리듬.율동.
夕阳,[명사]석양.저녁해.만년.노년.몰락하거나사양길에접어든사물.
嗅觉,[명사]후각.사물을판별하는능력.판단력.
绣[綉],[동사]수놓다.자수(刺繡)하다.[형용사]오색찬란하다.화려하다.[명사]자수(刺繡).자수품.
习俗,[명사]풍속.습속.
