china,korea
圆满,[형용사]원만하다.완벽하다.
幼稚,[형용사]유치하다.어리다.유치하다.수준이낮다.
优越,[형용사]우월하다.우량하다.
忧郁,[형용사]우울하다.침울하다.
优异,[형용사]특히우수하다.특출하다.
庸俗,[형용사]범속하다.비속하다.
永恒,[형용사]영원히변하지않다.영원하다.
隐约,[형용사]희미하다.흐릿하다.
英勇,[형용사]영용하다.매우용감하다.
英明,[형용사]영명하다.
一贯,[형용사]한결같다.일관되다.
异常,[형용사]심상치않다.예사롭지않다.[부사]특히.대단히.
野蛮,[형용사]야만적이다.미개하다.잔악하다.흉포하다.
遥远,[형용사](시간이나거리가)요원하다.아득히멀다.
耀眼,[형용사]눈부시다.
炎热,[형용사](날씨가)무덥다.찌는듯하다.
严厉,[형용사]호되다.매섭다.
严峻,[형용사]중대하다.심각하다.엄숙하다.위엄이있다.
严寒,[형용사]추위가심하다.아주춥다.
虚伪,[형용사]허위의.거짓의.
虚假,[형용사]거짓의.허위의.
细致,[형용사]정교하다.세밀하다.꼼꼼하다.치밀하다.
喜悦,[형용사]기쁘다.즐겁다.
羞耻,[형용사]수줍다.부끄럽다.
雄厚,[형용사](인력·물자등이)풍부하다.충분하다.
凶恶,[형용사]흉악하다.
新颖,[형용사]새롭다.신선하다.
欣慰,[형용사]기쁘고안심이되다.기쁘고위안이되다.
辛勤,[형용사]부지런하다.근면하다.
兴旺,[형용사]창성하다.흥성하다.
兴隆,[형용사]창성하다.흥성하다.
性感,[형용사]섹시하다.야하다.
狭窄,[형용사]비좁다.협소하다.(도량·견식등이)좁다.협애하다.
显著,[형용사]현저하다.뚜렷하다.
鲜明,[형용사]분명하다.명확하다.(색깔이)선명하다.
贤惠,[형용사]어질고총명하다.품성이곱다.
响亮,[형용사](소리가)크고맑다.우렁차다.
现成,[형용사]원래부터있는.다시준비할필요가없는.
狭隘,[형용사]좁다.(도량·견식등이)좁다.
无知,[형용사]무지하다.아는것이없다.
乌黑,[형용사]새까맣다.아주검다.
无耻,[형용사]염치없다.부끄러움을모르다.
无偿,[형용사]무상의.대가를바라지않는.
无比,[형용사]더비할바가없다.아주뛰어나다.
文雅,[형용사]품위가있다.우아하다.
温和,[형용사](기후가)따뜻하다.온난하다.온화하다.부드럽다.
顽强,[형용사]완강하다.억세다.
完备,[형용사]완비되어있다.모두갖추다.
外向,[형용사](성격이)외향적이다.대외지향적인.외국[국제]시장을겨냥한.
妥善,[형용사]나무랄데없다.알맞다.
妥当,[형용사]타당하다.알맞다.
通俗,[형용사]통속적이다.
挺拔,[형용사]우뚝하다.곧추솟다.굳세다.강력하다.
天生,[형용사]타고난.선천적인.
特定,[형용사]특정한.특별히지정한.일정한.주어진.
踏实,[형용사]마음이놓이다.편안하다.(태도가)착실하다.실하다.
贪婪,[형용사]매우탐욕스럽다.만족할줄모르다.
斯文,[형용사]우아하다.고상하다.
舒畅,[형용사]상쾌하다.유쾌하다.
爽快,[형용사]시원시원하다.호쾌하다.상쾌하다.유쾌하다.
衰老,[형용사]노쇠하다.늙어쇠약해지다.
十足,[형용사]충분하다.충족하다.성분이순수하다.순도가높다.
慎重,[형용사]신중하다.
神圣,[형용사]신성하다.성스럽다.
神奇,[형용사]신기하다.기묘하다.
生疏,[형용사]생소하다.낯설다.소원하다.친하지않다.서툴다.미숙하다.
深沉,[형용사]내색하지않다.침착하고신중하다.(목소리가)낮고묵직하다.둔탁하다.(정도가)깊다.심하다.
深奥,[형용사](함의나이치가)심오하다.깊다.
奢侈,[형용사]사치하다.낭비하다.
柔和,[형용사]연하고부드럽다.보드랍다.온유하다.온화하다.(빛과색이)부드럽다.강렬하지않다.(소리가)부드럽다.귀를자극하지않다.
融洽,[형용사]사이가좋다.조화롭다.
任意,[형용사]조건없는.임의의.[부사]마음대로.제멋대로.
任性,[형용사]제멋대로하다.마음내키는대로하다.
仁慈,[형용사]인자하다.
确切,[형용사]확실하다.적절하다.정확하다.
齐全,[형용사]완전히갖추다.완비하다.
勤俭,[형용사]근검하다.부지런하고알뜰하다.
清真,[형용사]산뜻하고질박하다.회교식의.이슬람교의.
倾斜,[형용사]기울다.경사지다.(어느한쪽으로)치우치다.편향되다.
清晰,[형용사]또렷하다.분명하다.
晴朗,[형용사]쾌청하다.구름한점없이맑다.
清澈,[형용사]맑고투명하다.
奇妙,[형용사]기묘하다.신기하다.
起码,[형용사]최소한의.기본적인.[부사]적어도.최소한도로.
凄凉,[형용사]처량하다.처참하다.쓸쓸하다.썰렁하다.
切实,[형용사]실용적이다.실제적이다.착실하다.성실하다.
谦逊,[형용사]겸손하다.
恰当,[형용사]알맞다.타당하다.
朴实,[형용사]소박하다.꾸밈이없다.정직하다.성실하다.착실하다.알뜰하다.
颇[頗],[부사]꽤.상당히.[형용사]치우치다.바르지않다.
贫困,[형용사]빈곤하다.곤궁하다.
平行,[형용사]동시에일어나는.동시의.평행인.(지위나등급이)대등한.동등한.
平坦,[형용사](도로·지대등이)평평하다.
平凡,[형용사]평범하다.보통이다.
频繁,[형용사]잦다.빈번하다.
贫乏,[형용사]빈궁하다.가난하다.부족하다.빈약하다.
疲倦,[형용사]피곤[피로·노곤]하다.지치다.느슨하다.늘어지다.
偏僻,[형용사]외지다.궁벽하다.
庞大,[형용사]매우크다.방대하다.
浓厚,[형용사]짙다.(흥미가)크다.강하다.농후하다.강하다.
内在,[형용사]내재적인.내재하는.(마음속에)내재하다.
难堪,[형용사]난감하다.난처하다.견디기[참기]어렵다.
难得,[형용사]얻기어렵다.하기쉽지않다.(출현이나발생이)드물다.오랜만이다.
耐用,[형용사]오래쓸수있다.질기다.
敏锐,[형용사](감각이)빠르다.예민하다.
敏捷,[형용사](생각·동작등이)민첩하다.빠르다.
渺小,[형용사]매우작다.미소하다.
猛烈,[형용사]맹렬하다.세차다.[부사]급격히.갑작스레.
美妙,[형용사]아름답다.훌륭하다.
美满,[형용사]아름답고원만하다.
美观,[형용사](형식·구성등이)보기좋다.예쁘다.
茂盛,[형용사](식물이)우거지다.무성하다.번창하다.번성하다.
茫然,[형용사]아무것도모르거나어쩔줄몰라하는모양.망연하다.실의에빠져정신이흐리멍덩한모양.망연하다.
盲目,[형용사]맹목적(인).무작정.눈먼.
茫茫,[형용사]아득하다.망망하다.
漫长,[형용사](시간·공간이)멀다.길다.
麻木,[형용사]마비되다.저리다.(반응이)둔하다.더디다.
隆重,[형용사]성대하다.성대하고장중하다.
聋哑,[형용사]귀가먹고말도못하다.
流通,[형용사]유통하다.막힘없이잘통하다.(상품·화폐가)유통되다.
吝啬,[형용사]인색하다.쩨쩨하다.
零星,[형용사]자질구레하다.자잘하다.산발적이다.드물다.
灵敏,[형용사]영민하다.재빠르다.
伶俐,[형용사](머리가)영리하다.(말주변이)뛰어나다.
辽阔,[형용사](평야·벌판·수면이)아득히멀고광활하다.넓고넓다.
连锁,[형용사]쇠사슬처럼연결되다[이어지다].연쇄적이다.이어지다.
廉洁,[형용사]청렴결백하다.
冷酷,[형용사]냉혹하다.잔인하다.
类似,[형용사]유사하다.비슷하다.
牢固,[형용사]견고하다.든든하다.
狼狈,[형용사]매우난처[곤란]하다.궁지에빠지다.결탁하다.공모하다.
懒惰,[형용사]게으르다.나태하다.
枯燥,[형용사]무미건조하다.지루하다.
宽敞,[형용사]넓다.드넓다.
快活,[형용사]즐겁다.유쾌하다.
空虚,[형용사]공허하다.텅비다.허전하다.공허하다.
可恶,[형용사]밉다.밉살스럽다.
恳切,[형용사]간절하다.간곡하다.
可口,[형용사]맛있다.입에맞다.
可观,[형용사]대단하다.굉장하다.가관이다.볼만하다.
慷慨,[형용사]후하게대하다.아끼지않다.강개하다.감정이나정서가격앙되다.
开朗,[형용사](생각이)트이다.(성격이)명랑하다.(장소가)탁트이고밝다[훤하다].
剧烈,[형용사]극렬하다.격렬하다.
机智,[형용사]기지가넘치다.
急躁,[형용사]조바심내다.초조해하다.성급하다.조급하다.
吉祥,[형용사]상서롭다.길하다.
急切,[형용사]절박하다.다급하다.황급하다.긴박하다.
紧迫,[형용사]급박하다.긴박하다.
精致,[형용사]정치하다.정교하고치밀하다.
惊讶,[형용사]의아스럽다.놀랍다.
精心,[형용사]정성을들이다.몹시조심하다.
精确,[형용사]정밀하고확실하다.정확(精確)하다.
惊奇,[형용사]놀라며의아해하다.경이롭게생각하다.
精密,[형용사]정밀하다.
寂静,[형용사]조용하다.고요하다.
杰出,[형용사]걸출한.남보다뛰어난[빼어난].
饥饿,[형용사]배고프다.굶주리다.
机动,[형용사]발동기[엔진·모터]로움직이는.기동적인.기민한.탄력적으로운용하는.융통성이있는.
焦急,[형용사]초조하다.조급해하다.
坚硬,[형용사]단단하다.견고하다.
简要,[형용사]간결하고핵심을찌르는.
坚实,[형용사]견실하다.견고하다.건장하다.튼튼하고실하다.
坚韧,[형용사]단단하고질기다.강인하다.완강하다.
艰难,[형용사]곤란하다.어렵다.
简陋,[형용사](가옥·설비등이)초라하다.조촐하다.
间接,[형용사]간접적인.
僵硬,[형용사](사지가)뻣뻣하다.경직되다.융통성이없다.딱딱하다.
坚固,[형용사]견고하다.견뢰(堅牢)하다.
混浊,[형용사](물·공기따위가)혼탁하다.(세상이)혼탁하다.암담하고추악하다.
混乱,[형용사]혼란하다.문란하다.
辉煌,[형용사](빛이)휘황찬란하다.눈부시다.(성취·성과가)눈부시다.뚜렷하다.
欢乐,[형용사]즐겁다.유쾌하다.
荒唐,[형용사]황당하다.터무니없다.(행위가)방종하다.방탕하다.
荒谬,[형용사]엉터리이다.터무니없다.
荒凉,[형용사]황량하다.쓸쓸하다.
华丽,[형용사]화려하다.아름답다.
宏伟,[형용사](규모·기세따위가)웅장하다.웅대하다.
宏观,[형용사](자연과학에서)거시적.매크로(macro).거시적.
和谐,[형용사]잘어울리다.조화롭다.
合算,[형용사]수지가[채산이]맞다.(종합적으로)고려하다.생각하다.
和睦,[형용사]화목하다.사이가좋다.
和蔼,[형용사]상냥하다.부드럽다.
豪迈,[형용사]호매하다.용감하고아량이있다.
罕见,[형용사]보기드물다.희한하다.
固有,[형용사]고유의.
